Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
Unit1_Homework1,(default package),Expression,Expression,3,1,0,8
Unit1_Homework1,(default package),Expression,addTerm,3,1,1,12
Unit1_Homework1,(default package),Expression,delTerm,3,1,1,16
Unit1_Homework1,(default package),Expression,uniteLikeTerm,20,6,0,20
Unit1_Homework1,(default package),Expression,clearZeroTerm,7,3,0,41
Unit1_Homework1,(default package),Expression,sortInCoefficientDescendingOrder,3,1,0,49
Unit1_Homework1,(default package),Expression,size,3,1,0,53
Unit1_Homework1,(default package),Expression,get,3,1,1,57
Unit1_Homework1,(default package),Expression,inFormat,12,3,0,61
Unit1_Homework1,(default package),Expression,toString,7,2,0,74
Unit1_Homework1,(default package),Lexer,Lexer,4,1,1,6
Unit1_Homework1,(default package),Lexer,peek,3,1,0,11
Unit1_Homework1,(default package),Lexer,next,10,2,0,15
Unit1_Homework1,(default package),Lexer,getNumber,9,2,0,25
Unit1_Homework1,(default package),MainClass,main,27,5,1,9
Unit1_Homework1,(default package),MainClass,clipDupOperator,15,4,1,42
Unit1_Homework1,(default package),MainClass,unfoldPower,25,6,1,58
Unit1_Homework1,(default package),Parser,Parser,3,1,1,6
Unit1_Homework1,(default package),Parser,parseExpression,16,3,0,10
Unit1_Homework1,(default package),Parser,parseTerm,33,7,1,27
Unit1_Homework1,(default package),Term,Term,5,1,0,9
Unit1_Homework1,(default package),Term,Term,5,1,2,15
Unit1_Homework1,(default package),Term,getBracketExpressions,3,1,0,21
Unit1_Homework1,(default package),Term,addExpression,3,1,1,25
Unit1_Homework1,(default package),Term,departBracket,12,3,0,29
Unit1_Homework1,(default package),Term,mergeAllExpressions,11,3,0,42
Unit1_Homework1,(default package),Term,mergeTwoExpressions,12,3,2,54
Unit1_Homework1,(default package),Term,multiplyTwoTerms,5,1,2,67
Unit1_Homework1,(default package),Term,getCoefficient,3,1,0,73
Unit1_Homework1,(default package),Term,setCoefficient,3,1,1,77
Unit1_Homework1,(default package),Term,getDegree,3,1,0,81
Unit1_Homework1,(default package),Term,setDegree,3,1,1,85
Unit1_Homework1,(default package),Term,inFormat,22,6,0,89
Unit1_Homework1,(default package),Term,toString,8,2,0,109
Unit1_Homework1,(default package),Term,compareTo,11,3,1,119
