Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
Unit1_Homework2,(default package),Expression,Expression,3,1,0,8
Unit1_Homework2,(default package),Expression,Expression,3,1,1,12
Unit1_Homework2,(default package),Expression,deepClone,7,2,0,16
Unit1_Homework2,(default package),Expression,getTerms,3,1,0,24
Unit1_Homework2,(default package),Expression,addTerm,3,1,1,28
Unit1_Homework2,(default package),Expression,delTerm,3,1,1,32
Unit1_Homework2,(default package),Expression,clearExpressionInTerm,13,4,0,36
Unit1_Homework2,(default package),Expression,uniteLikeTerm,33,8,0,50
Unit1_Homework2,(default package),Expression,clearZeroTerm,9,4,0,86
Unit1_Homework2,(default package),Expression,sortInCoefficientDescendingOrder,3,1,0,96
Unit1_Homework2,(default package),Expression,size,3,1,0,100
Unit1_Homework2,(default package),Expression,getTerm,3,1,1,104
Unit1_Homework2,(default package),Expression,multiplyTerm,5,2,1,108
Unit1_Homework2,(default package),Expression,multiplyExpression,14,3,1,114
Unit1_Homework2,(default package),Expression,addExpression,3,1,1,128
Unit1_Homework2,(default package),Expression,inFormat,12,3,0,132
Unit1_Homework2,(default package),Expression,toString,7,2,0,145
Unit1_Homework2,(default package),Lexer,Lexer,4,1,1,6
Unit1_Homework2,(default package),Lexer,peek,3,1,0,11
Unit1_Homework2,(default package),Lexer,next,28,6,0,15
Unit1_Homework2,(default package),Lexer,getNumber,8,2,0,41
Unit1_Homework2,(default package),MainClass,main,22,3,1,11
Unit1_Homework2,(default package),MainClass,clipDupOperator,15,4,1,39
Unit1_Homework2,(default package),Parser,Parser,3,1,1,8
Unit1_Homework2,(default package),Parser,parseExpression,17,3,0,12
Unit1_Homework2,(default package),Parser,parseTerm,43,11,1,31
Unit1_Homework2,(default package),Parser,parseNum,10,2,0,76
Unit1_Homework2,(default package),Parser,parsePolyFactor,18,3,0,87
Unit1_Homework2,(default package),Parser,parseFunction,23,5,0,105
Unit1_Homework2,(default package),Parser,parseSum,21,3,0,133
Unit1_Homework2,(default package),Parser,getContentInBrackets,21,5,0,156
Unit1_Homework2,(default package),Parser,parseTrig,13,2,0,177
Unit1_Homework2,(default package),PolyFactor,PolyFactor,4,1,2,7
Unit1_Homework2,(default package),PolyFactor,deepClone,4,1,0,12
Unit1_Homework2,(default package),PolyFactor,getCoefficient,3,1,0,17
Unit1_Homework2,(default package),PolyFactor,setCoefficient,3,1,1,21
Unit1_Homework2,(default package),PolyFactor,getIndex,3,1,0,25
Unit1_Homework2,(default package),PolyFactor,multiplyPoly,4,1,1,29
Unit1_Homework2,(default package),PolyFactor,equals,3,1,1,34
Unit1_Homework2,(default package),PolyFactor,toString,3,1,0,38
Unit1_Homework2,(default package),PolyFactor,compareTo,15,5,1,42
Unit1_Homework2,(default package),PolyFactor,inFormat,25,7,1,56
Unit1_Homework2,(default package),SelfFunction,SelfFunction,5,1,2,10
Unit1_Homework2,(default package),SelfFunction,refractExpr,36,8,0,16
Unit1_Homework2,(default package),SelfFunction,getExpr,3,1,0,56
Unit1_Homework2,(default package),SelfFunction,getParameters,3,1,0,60
Unit1_Homework2,(default package),Term,Term,5,1,2,10
Unit1_Homework2,(default package),Term,Term,5,1,2,16
Unit1_Homework2,(default package),Term,Term,5,1,3,22
Unit1_Homework2,(default package),Term,deepClone,12,3,0,28
Unit1_Homework2,(default package),Term,getPolyFactor,3,1,0,44
Unit1_Homework2,(default package),Term,getBracketExpression,3,1,0,48
Unit1_Homework2,(default package),Term,clonePolyFactor,5,1,0,52
Unit1_Homework2,(default package),Term,cloneTrigFunctions,10,2,0,58
Unit1_Homework2,(default package),Term,addExpression,7,2,1,69
Unit1_Homework2,(default package),Term,addTrig,20,6,1,77
Unit1_Homework2,(default package),Term,addTrigs,5,2,1,99
Unit1_Homework2,(default package),Term,delTrig,3,1,1,105
Unit1_Homework2,(default package),Term,addPolyFactor,3,1,1,109
Unit1_Homework2,(default package),Term,hasExpressionFactor,3,1,0,113
Unit1_Homework2,(default package),Term,departBracket,12,3,0,117
Unit1_Homework2,(default package),Term,multiplyTerm,5,1,1,134
Unit1_Homework2,(default package),Term,modeEquals,18,5,1,140
Unit1_Homework2,(default package),Term,findTrigSquarePair,35,9,1,159
Unit1_Homework2,(default package),Term,getCoefficient,3,1,0,192
Unit1_Homework2,(default package),Term,setCoefficient,3,1,1,196
Unit1_Homework2,(default package),Term,inFormat,18,5,0,200
Unit1_Homework2,(default package),Term,toString,9,2,0,217
Unit1_Homework2,(default package),Term,compareTo,11,3,1,228
Unit1_Homework2,(default package),TrigFunction,TrigFunction,5,1,3,8
Unit1_Homework2,(default package),TrigFunction,deepClone,4,1,0,14
Unit1_Homework2,(default package),TrigFunction,getName,3,1,0,19
Unit1_Homework2,(default package),TrigFunction,getVarFactor,3,1,0,23
Unit1_Homework2,(default package),TrigFunction,getIndex,3,1,0,27
Unit1_Homework2,(default package),TrigFunction,modeEquals,3,1,1,31
Unit1_Homework2,(default package),TrigFunction,absorbIn,3,1,1,35
Unit1_Homework2,(default package),TrigFunction,toString,3,1,0,39
Unit1_Homework2,(default package),TrigFunction,compareTo,18,6,1,43
Unit1_Homework2,(default package),TrigFunction,equalOne,3,1,0,60
Unit1_Homework2,(default package),TrigFunction,equalZero,3,1,0,65
Unit1_Homework2,(default package),TrigFunction,reverseInnerNeg,13,3,0,69
Unit1_Homework2,(default package),TrigFunction,inFormat,7,2,0,82
