Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Unit1_Homework2,(default package),Expression,1,0,17,17,130,37,0,0,0.0,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\Expression.java,5
Unit1_Homework2,(default package),Lexer,3,0,4,4,48,10,0,0,0.0,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\Lexer.java,1
Unit1_Homework2,(default package),MainClass,1,1,2,2,40,7,0,0,1.0,1,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\MainClass.java,8
Unit1_Homework2,(default package),Parser,1,0,9,9,172,35,0,0,0.0,0,1,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\Parser.java,5
Unit1_Homework2,(default package),PolyFactor,2,0,10,10,71,20,0,0,0.2,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\PolyFactor.java,3
Unit1_Homework2,(default package),SelfFunction,2,0,4,4,51,11,0,0,0.0,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\SelfFunction.java,6
Unit1_Homework2,(default package),Term,3,0,23,23,208,54,0,0,0.13043478260869565,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\Term.java,5
Unit1_Homework2,(default package),TrigFunction,3,0,13,13,76,21,0,0,0.15384615384615385,0,0,D:\0_Personal_File\Grade2_02_Spring\OO\Unit1\Unit1_Homework2\src\TrigFunction.java,3
